(0.3103543732030984, 4.287694094986135e-13)
(0.4827962717507994, 3.3789406921043886e-11)
(0.8299185591524527, 9.020574739160348e-09)
(0.3869396117896878, 4.5403048612637825e-12)
(0.06449045561283237, 7.159878868993315e-16)
(0.6506431368202577, 2.341811053668487e-10)
(0.4227276313793997, 1.0471934299747098e-11)
(0.17810071028004837, 1.0299005173274499e-14)
(0.30229838516239455, 3.0948814305556715e-13)
(0.3477682329411248, 1.5437184766909641e-12)
(0.574488810290265, 1.2878180146836007e-10)
(0.031150957683499264, 3.4584510459344814e-16)
(0.4671396037004743, 2.551163539190938e-11)
(0.22940692025844772, 2.5469284487927593e-15)
(0.7510143576589574, 9.666269032927033e-11)
